index,phase,period_ns,wake_ns,read_ns,command_ns,raw_tracking_error_rad,expected_lag_error_rad,dynamic_hard_threshold_rad,tracking_warning,hard_crossing,cmd_q1,cmd_v1,cmd_a1,obs_q1,cmd_q2,cmd_v2,cmd_a2,obs_q2,cmd_q3,cmd_v3,cmd_a3,obs_q3,cmd_q4,cmd_v4,cmd_a4,obs_q4,cmd_q5,cmd_v5,cmd_a5,obs_q5,cmd_q6,cmd_v6,cmd_a6,obs_q6
0,outward,0,28445,50242,551333,1.3831979541023554e-05,0,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028309239984444446,-0.77082919841452846,0,0,-0.77082465099444453,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423723494954101,0,0,0.47422340296999999
1,outward,8037152,65597,32667,64881,1.3831979541023554e-05,0,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028309239984444446,-0.77082919841452846,0,0,-0.77082465099444453,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423723496948106,9.9604524891765169e-09,3.7291838345895259e-06,0.47422340296999999
2,outward,7995346,60943,24342,51416,1.3831999481073165e-05,1.4940678733764774e-09,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028309239984444446,-0.77082919841452846,0,0,-0.77082465099444453,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423723526735723,7.9301139192165138e-08,1.4821230168038089e-05,0.47422340296999999
3,outward,7998698,59641,23630,47324,1.3832297357241341e-05,1.189517087882477e-08,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028309239984444446,-0.77082919841452846,0,0,-0.77082465099444453,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423723655230093,2.6635460974744923e-07,3.3133742651461231e-05,0.47422340296999999
4,outward,8001781,61422,30111,54027,1.3833582300948333e-05,3.9953191462117385e-08,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028256880107777778,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423723999555967,6.2831882782420635e-07,5.8525470526499897e-05,0.47422340296999999
5,outward,7998754,60176,24278,54555,1.3837025559682026e-05,9.4247824173630949e-08,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028187066938888887,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423724722145677,1.2212663210885018e-06,9.0856304935817982e-05,0.47422340296999999
6,outward,7999493,59669,28399,50945,1.3844251456784917e-05,1.8318994816327527e-07,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.4742372602984245,2.1001533016534628e-06,0.00012998727523359983,0.47422340296999999
7,outward,8000551,60220,31287,56453,1.3857328424515813e-05,3.1502299524801938e-07,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423728173010982,3.3188287570134279e-06,0.00017578054529604755,0.47422340296999999
8,outward,8001318,61538,29203,55157,1.3878760109831134e-05,4.9782431355201415e-07,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423731444655293,4.9300435114620897e-06,0.00022809940983187896,0.47422340296999999
9,outward,7998865,60403,27815,53519,1.3911476552941338e-05,7.3950652671931344e-07,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423736179543802,6.9854592579945981e-06,0.00028680829069282479,0.47422340296999999
10,outward,8002142,62545,26167,56066,1.3958825438031841e-05,1.0478188886991898e-06,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423742753341641,9.5356575606936542e-06,0.00035177273318412564,0.47422340296999999
11,outward,7998578,61123,23916,55278,1.4024563416425995e-05,1.4303486341040482e-06,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423751581750129,1.2630148827599588e-05,0.00042285940237503074,0.47422340296999999
12,outward,7999161,60284,24888,56000,1.4112847501301928e-05,1.8945223241399382e-06,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697665557588889,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423763119653434,1.6317381254064441e-05,0.00049993607940929487,0.47422340296999999
13,outward,7999864,60148,22250,45667,1.4228226534351851e-05,2.4476071881096661e-06,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.4742377786027237,2.0644749736589917e-05,0.00058287165781567487,0.47422340296999999
14,outward,7999560,59708,25027,54269,1.4375632723717668e-05,3.0967124604884875e-06,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423796334325297,2.565860475714947e-05,0.00067153613981842867,0.47422340296999999
15,outward,8001002,60710,21733,47583,1.4560373252980874e-05,3.8487907135724206e-06,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423819109196164,3.1404261237994317e-05,0.00076580063264781214,0.47422340296999999
16,outward,7999699,60409,20194,47648,1.4788121961650802e-05,4.7106391856991473e-06,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423846788109564,3.7926007366943307e-05,0.00086553734485057658,0.47422340296999999
17,outward,8000568,60977,22657,50028,1.5064911095652445e-05,5.6889011050414961e-06,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423880009312891,4.5267113393156991e-05,0.00097061958260046596,0.47422340296999999
18,outward,7998799,59776,22167,45389,1.5397123128924051e-05,6.7900670089735485e-06,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423919445265478,5.3469840393395484e-05,0.0010809217460087156,0.47422340296999999
19,outward,7999291,59067,21593,46055,1.5791482654792244e-05,8.0204760590093226e-06,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47423965801834767,6.2575449008760351e-05,0.0011963193254345467,0.47422340296999999
20,outward,7998772,57839,26000,52083,1.6255048347679768e-05,9.386317351314052e-06,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47424019817499441,7.2624208151920641e-05,0.0013166888977956684,0.47422340296999999
21,outward,8001698,59537,22491,45250,1.6795204994424218e-05,1.0893631222788097e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47424082262559508,8.3655403684822601e-05,0.0014419081228787716,0.47422340296999999
22,outward,8003160,62697,24074,47250,1.7419655595096728e-05,1.254831055272339e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47424153938353347,9.5707347066883557e-05,0.0015718557396500268,0.47422340296999999
23,outward,7997059,59756,22463,45565,1.8136413533487161e-05,1.4356102060032534e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47424235676481596,0.00010881738397367004,0.001706411562565586,0.47422340296999999
24,outward,8000836,60592,22796,44111,1.895379481597903e-05,1.6322607596050506e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47424328338038002,0.00012302190288605895,0.0018454564778820721,0.47422340296999999
25,outward,7998799,59391,23037,45213,1.9880410380035407e-05,1.8453285432908843e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47424432812847067,0.00013835634364988398,0.0019888724399670819,0.47422340296999999
26,outward,7998198,57589,23408,46814,2.0925158470685989e-05,2.0753451547482598e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.4742455001870855,0.0001548552060060652,0.002136542467609687,0.47422340296999999
27,outward,8004262,61851,22529,46342,2.2097217085514931e-05,2.322828090090978e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47424680900648808,0.00017255205809122264,0.0022883506403309213,0.47422340296999999
28,outward,7998976,60827,21935,46805,2.3406036488093918e-05,2.5882808713683396e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.4742482643017889,0.0001914795449087742,0.0024441820946942872,0.47422340296999999
29,outward,7999642,60469,40426,48371,2.4861331788916807e-05,2.8721931736316131e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47424987604559399,0.00021166939677051745,0.0026039230206162502,0.47422340296999999
30,outward,7998670,59139,21936,43796,2.647307559400236e-05,3.1750409515577616e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47425165446072121,0.00023315243770869487,0.0027674606576767354,0.47422340296999999
31,outward,8000207,59346,21871,46907,2.8251490721220573e-05,3.4972865656304231e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697665557588889,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47425361001298361,0.00025595859385854408,0.0029346832914296252,0.47422340296999999
32,outward,8001327,60673,21704,46288,3.020704298362098e-05,3.8393789078781608e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47425575340403942,0.0002801169018113313,0.0031054802497132599,0.47422340296999999
33,outward,7998799,59472,21861,47954,3.2350434039429832e-05,4.2017535271699693e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47425809556430931,0.00030565551693786876,0.0032797418989609296,0.47422340296999999
34,outward,7999041,58513,21500,48639,3.4692594309326807e-05,4.5848327540680314e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.4742606476459596,0.00033260172168251661,0.0034573596405113793,0.47422340296999999
35,outward,8000624,59137,21583,49824,3.7244675959613449e-05,4.9890258252377489e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47426342101595209,0.00036098193382766853,0.0036382259069192972,0.47422340296999999
36,outward,8003549,62686,24065,51464,2.2564753729859e-05,5.4147290074150276e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47426642724915963,0.00039082171472872072,0.0038222341582658196,0.47424085626222223
37,outward,7996170,58856,22861,49223,2.5570986937395457e-05,5.8623257209308103e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47426967812154747,0.0004221457775195261,0.0040092788784690239,0.47424085626222223
