index,start_period_ns,edg_read_ns,command_ns,wait_ns,wake_lateness_ns,cycle_work_ns
476,8001170,0,30685,7969031,58113,30880
477,8000105,0,43732,7956530,58218,44037
478,8000789,0,45139,7957152,59007,45463
479,8002837,0,44954,8428252,61844,45204
480,8473845,0,239137,7284468,535689,239916
481,7524754,0,65064,7932077,60443,65397
482,7997706,0,52769,7946299,58149,53074
483,7999605,0,46241,7957383,57754,46510
484,8004124,0,48092,7947049,61878,48407
485,7995679,0,49397,7951253,57557,49647
486,8001123,0,47325,7955086,58680,47630
487,8002939,0,51055,7946615,61619,51314
488,7998160,0,47223,7950846,59779,47491
489,7998568,0,46388,7957697,58347,46647
490,8004567,0,49444,7946698,62914,49704
491,7996615,0,43917,7954661,59529,44194
492,7999068,0,48445,7951206,58597,48713
493,8000141,0,45129,7954207,58738,45435
494,7999874,0,43194,7954467,58612,43444
495,7998087,0,25518,7974697,56699,25675
496,8000521,0,22389,7975687,57220,22556
497,7998392,0,22296,7977818,55612,22463
498,8000447,0,22213,7977198,56059,22398
499,7999735,0,26834,7973003,55794,27000
500,8000133,0,25176,7974280,55927,25333
501,7999752,0,24305,7975374,55679,24463
502,7999985,0,25121,7974234,55664,25278
503,7999669,0,22731,7978309,55333,22908
504,8001374,0,22426,7976022,56707,22602
505,7998753,0,24676,7973819,55460,24833
506,7998800,0,23204,7978354,54260,23361
507,8001854,0,22037,7978281,56114,22213
508,8000661,0,24093,7974642,56775,24259
509,7999058,0,24379,7975661,55833,24537
510,8000346,0,24732,7977641,56179,24908
511,8002697,0,22824,7973874,58876,23009
512,7997031,0,26870,7973328,55907,27046
513,8000503,0,27852,7971383,56410,28000
514,7999522,0,23879,7983095,55932,24047
515,8007290,0,21833,7970568,63222,22019
516,7992735,0,24667,7975235,55957,24824
517,8000207,0,21880,7977059,56164,22047
518,7999245,0,23694,7978290,55409,23851
519,8002289,0,21287,7975494,57698,21454
520,7997087,0,30861,7970503,54785,31019
521,8001662,0,28148,7970540,56447,28305
522,7998993,0,22148,7992540,55440,22305
523,8015004,0,26991,7959744,70444,27166
524,7987068,0,30621,7967745,57512,30824
525,7998735,0,29111,7970753,56247,29296
526,8000197,0,26101,7974383,56444,26306
527,8000874,0,46120,7954003,57318,46435
528,8000661,0,43990,7957393,57979,44297
529,8001911,0,47454,7950854,59890,47723
530,7998799,0,47269,7955624,58689,47574
